post_id	title	content	price	quarter	december
129953547	ev lowrise 1 bedroom june 12-july 17 - $2,000.         @stanford.edu	fully furnished 1 bed/1bath apartment on campus. has all bedding, towels, kitchen items ect.. also has an ac unit and small dishwasher.  must be stanford affiliate to sublet - see details here: https://rde.stanford.edu/studenthousing/sublicense. . we are also open to subletting for a shorter period of time, and can potentially extend until september.  . can send photos/ video tour. floorplan/details here: https://rde.stanford.edu/studenthousing/escondido-village-lowrise-apartments. we do have a dog, will clean apartment throughly before we leave but may not be best for those with allergies.	$2,000	False	False
129953529	sublet studio escondido village on campus - august 12 - sept 3 - $1,000.         @stanford.edu	bright and cozy studio on the 4th floor, located in escondido village on campus. comes with basic amenities, ac, and a private bathroom. free laundry downstairs. for more info on the studio: https://rde.stanford.edu/studenthousing/escondido-village-studios. the studio is located on campus, 10-min bike ride to stanford medical school or libraries.. 10-minute walking distance local supermarket, farmer market and california avenue where all the fun happen.. looking for a clean and quiet (our neighbors are light sleepers) person to sublet our lovely studio for 3 weeks at the discounted price of $1000. if you have any questions, please feel free to email.. due to the housing policy, only incoming or current stanford affiliates who can show proof of stanford affiliation are eligible to apply. minors, undergraduates, and those not in good standing with the university are not eligible to sublicense.	$1,000	False	False
129953488	graduate student housing sublet - $1,140.         @stanford.edu	beautiful 1st floor 2 bedroom apartment located on campus in rains graduate housing (https://rde.stanford.edu/studenthousing/liliore-green-rains-houses). bedroom is private, and kitchen and bathroom are shared with another stanford graduate student.. rental period: 6/25 - 7/18 (or some time frame within that range). rent: $1,140 for full rental period. the longest rental period requested will be considered first.. this unit is furnished with all of the amenities listed on the website above plus kitchen appliances, dishes, sheets, or other amenities (if desired). . available to show the apartment in person or virtually at any point	$1,140	False	False
129953353	a studio on campus for sublease in summer: 07/04-08/14 - $1,800.         @stanford.edu	hi i would like to sublet my studio in studio 5 on campus from 07/04 to 08/14, with possible flexibility that we can apply for a late move-out to 08/25.. information about the studio can be found: https://rde.stanford.edu/studenthousing/escondido-village-studios. the apartment is fully furnished, with an extra-long full-size bed (with mattress), desk, desk chair, and sofa. all utilities included. the laundry is downstairs and is free.. i will move all my stuff out so you can have all the space to yourself. asking for $1800 per month for a total of $2380 from 07/04 to 08/14.. *only incoming or current stanford affiliates who can show proof of stanford affiliation are eligible to apply. minors, undergraduates, and those not in good standing with the university are not eligible to sublicense.*	$1,800	False	False
129952832	subletting a room w. bath on campus - june 25 to august 31 (flexible) - $1,700.         @stanford.edu	hey everyone, . i am subletting my room to another girl from june 25 to august 31. it is a premium 2 room/2baths in kennedy. the room will be empty to accomodate you during this whole period. please find pictures below. you can also see a room toor here: https://www.youtube.com/watch?v=uyaeofanjpy&t=124s . the period and price are flexible, so just dm me.	$1,700	False	False
129952454	on-campus studio sublet available mid-july to september - $1,500.         @stanford.edu	my studio in studio 2 on campus will be available from mid-july until the first week of september for a sublet. fully furnished and decorated with ample kitchen appliances and supplies. price is $1500 per month, so the total for 6 weeks will end up being $2250. let me know if you're interested!	$1,500	False	False
129952439	on campus lowrise 2 bedrooms and 1 bathrooms house sublease for the su - $1,200.         @stanford.edu	i'm subletting my room on campus from mid-june to early-september in ev lowrise. dates negotiable. it's a 2 br 1 ba. it's a beautiful townhouse with two floors: the kitchen and the living room is on ground floor and the two rooms and bathroom are upstairs. all furnished (included tv). utilities included. . please contact me if would like a tour. also please note that according to stanford sublicensing policy, only stanford affiliated are eligible to rent. . possible to rent the two rooms together ($1200 each), otherwise there might be another subleasee in the house over the summer.. check your eligibility here:  https://rde.stanford.edu/studenthousing/sublicensing-general-sublicensee-eligibility.	$1,200	False	False
129952435	on campus lowrise 2 bedrooms and 1 bathrooms house sublease for the su - $1,200.         @stanford.edu	i'm subletting my room on campus from mid-june to early-september in ev lowrise. dates negotiable. it's a 2 br 1 ba. it's a beautiful townhouse with two floors: the kitchen and the living room is on ground floor and the two rooms and bathroom are upstairs. all furnished (included tv). utilities included.. please contact me if would like a tour. also please note that according to stanford sublicensing policy, only stanford affiliated are eligible to rent.. possible to rent the two rooms together ($1200 each), otherwise there might be another subleasee in the house over the summer.. check your eligibility here: https://rde.stanford.edu/studenthousing/sublicensing-general-sublicensee-eligibility.	$1,200	False	False
129952258	mid-june to august sublet on-campus needed.         @stanford.edu	hi,. i need to sublet a room/apartment somewhere around the campus or, preferably, on campus. from mid-june/end-june to beginning of august. need it urgently as i have to stay on campus for an internship.. i am looking for something to sublet by myself, but i also can have 2 other people interested in living with me and subletting if there is enough space in the accommodation. . contact me at jlasiota@stanford.edu		False	False
129952222	premium room summer sublet - $1,750.         @stanford.edu	hello everyone,. i am renting out a room at escondido village graduate residences (evgr) - c from june 26th to end of august (with some flexibility). the unit is a premium bedroom which has have space than the average housing on campus. it has a private bathroom and a shared kitchen/dining room with only one other flatmate. the room is furnished.. the residence is very recent (2020) and the room is in pristine conditions. the residence has a laundry room (for free), a number of gyms, study rooms, dance rooms, a music room and a play room. there is also restaurant attached to the residence (evgr dining) and a convenience store right in the ground floor. more information can be found here https://rde.stanford.edu/studenthousing/evgr.. the images are provided by stanford to illustrate a premium evgr room (same unit type). if interested, i am happy to have a video call to show you around and discuss the details. please reply to wassimd@stanford.edu.. all the best, . wassim	$1,750	False	False
